Country Name,Country Code,Indicator Name,Indicator Code,year_1960,year_1961,year_1962,year_1963,year_1964,year_1965,year_1966,year_1967,year_1968,year_1969,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873184358,1896648045,1962011173,2044134078,2254748603,2359776536,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3276187709,3395793855,2610038939,3126019385,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,21125015452,21616228139,23506279900,28048360188,25920665260,29472103270,32014368121,33269509510,36327785495,41638967621,44629891649,49173371529,53123459912,69482723444,85380645042,90835426418,90212747243,1.02E+11,1.16E+11,1.34E+11,1.71E+11,1.76E+11,1.68E+11,1.76E+11,1.61E+11,1.37E+11,1.53E+11,1.87E+11,2.05E+11,2.18E+11,2.54E+11,2.77E+11,2.46E+11,2.43E+11,2.40E+11,2.70E+11,2.69E+11,2.83E+11,2.67E+11,2.63E+11,2.85E+11,2.60E+11,2.67E+11,3.54E+11,4.40E+11,5.14E+11,5.78E+11,6.63E+11,7.11E+11,7.22E+11,8.64E+11,9.68E+11,9.75E+11,9.86E+11,1.01E+12,9.27E+11,8.85E+11,1.02E+12,1.01E+12,1.00E+12,9.28E+11,1.08E+12,1.17E+12
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,3854235264,4539496563,5220825049,6226198935,6971383339,9715765105,10249770319,12154835708,15633843662,18190413832,20203572960,20564485419,20550582747,19998143636,18019554403,18896353156,18418860354,18904502222,20143451706,14583135237,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10447637853,11173212080,11990534018,12727688165,13898109284,14929792388,15910837742,14510579889,14968235782,16979315745,23596163865,20936358634,25386169423,31975594565,44416677335,51667190242,62351622300,65595122956,71496496574,88948338390,1.12E+11,2.11E+11,1.87E+11,1.38E+11,1.15E+11,1.17E+11,1.08E+11,1.11E+11,1.09E+11,1.02E+11,1.22E+11,1.18E+11,1.19E+11,99272180411,86636400266,1.09E+11,1.26E+11,1.28E+11,1.31E+11,1.38E+11,1.41E+11,1.49E+11,1.77E+11,2.05E+11,2.54E+11,3.11E+11,3.97E+11,4.65E+11,5.68E+11,5.08E+11,5.99E+11,6.82E+11,7.38E+11,8.34E+11,8.94E+11,7.69E+11,6.91E+11,6.85E+11,7.67E+11,8.23E+11,7.86E+11,8.44E+11,8.78E+11
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503401,5550483036,5550483036,5784341596,6131475065,7554065410,7072536109,8084412414,8769836769,10201780977,11229515599,12704558517,15114352005,11051939102,3390500000,5561222222,7526963964,7648377413,6506229607,6152922943,9129594819,8936079253,15285592487,17812704626,23552057820,36970901025,52381025105,65266415707,88538664888,70307196477,81699526881,1.09E+11,1.25E+11,1.33E+11,1.37E+11,87219300385,49840491178,68972769396,77792944472,69309110146,50241368244,65685435100,1.07E+11
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880950858,2392764853,3199640826,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077209,8896074996,10677324873,12881352878,12044205572,11926926654,12890760273,12319834233,12776224537,13228147516,11386853143,11861199831,13019726212,15156424062,15401826081,15162734205,17930565119,18882095518
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617622.62,89406587.66,113414399.2,150841573.5,186557164,220112879.8,227284061.5,253998001.2,308020288.9,411548365.7,446377571.5,388982990.5,375914806.5,327849981.5,330073057,346742876.3,481996191.3,611300147.3,721425971.8,795489464,1028989394,1106891025,1209992650,1007090915,1017544675,1178745314,1224023416,1180646068,1211953954,1239840270,1429048106,1546912332,1755989899,2361635782,2895047587,3159826892,3456265062,3952397735,4085781939,3674188229,3449925739,3629133575,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3325145407,3352032737
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,34715404211,37827652252,42768536551,49428519673,58935857749,74780454402,1.42E+11,1.57E+11,1.96E+11,2.26E+11,2.50E+11,3.38E+11,4.60E+11,4.75E+11,4.45E+11,4.18E+11,4.26E+11,4.19E+11,4.07E+11,4.41E+11,4.25E+11,4.56E+11,6.44E+11,4.72E+11,4.74E+11,4.83E+11,5.08E+11,5.56E+11,6.14E+11,6.62E+11,6.49E+11,7.17E+11,8.20E+11,8.03E+11,8.08E+11,8.94E+11,1.06E+12,1.30E+12,1.55E+12,1.80E+12,2.26E+12,1.99E+12,2.33E+12,2.56E+12,2.80E+12,2.86E+12,2.91E+12,2.55E+12,2.54E+12,2.64E+12,2.84E+12,2.87E+12,2.53E+12,2.93E+12,3.56E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720728252,19213156353,24871775165,23775765254,31225660993,43599160062,49333424149,46622718618,42803323357,41807954241,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,2.90E+11,3.51E+11,3.85E+11,4.00E+11,4.14E+11,3.70E+11,3.69E+11,3.91E+11,4.27E+11,4.18E+11,3.49E+11,4.15E+11,5.08E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499892,56781000101,89049453088,69252328952,76961923741,78676842367,84307486837,1.04E+11,1.17E+11,88150891728,1.06E+11,1.09E+11,1.27E+11,76629728760,1.41E+11,1.90E+11,2.29E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11,5.25E+11,4.48E+11,3.86E+11,4.87E+11,6.33E+11
