Country Name,Country Code,Indicator Name,Indicator Code,year_1960,year_1961,year_1962,year_1963,year_1964,year_1965,year_1966,year_1967,year_1968,year_1969,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6283.001443,7567.253642,9274.514156,10767.39622,11638.73371,12850.21571,13657.67064,14970.15234,16675.27849,17140.43337,17375.22531,18713.42539,19742.31674,19833.82675,21023.15751,20913.2995,21377.09519,22050.83093,24104.64618,24975.67326,25833.44562,27665.42647,29011.55925,25739.13725,24452.92836,26044.43593,25609.95572,26515.67808,26942.30798,28421.38649,28451.27374,29326.70806,30918.51522,31902.76258,24487.86357,29342.10073,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,161.6389822,161.1116574,170.5385373,198.0389187,178.0192173,196.8187562,207.9455738,210.1498937,223.0406591,248.4482199,258.760362,277.0281066,290.9294856,369.782388,441.2141017,455.8082327,439.627553,484.274983,533.7680741,598.5165583,741.3057049,739.0986528,685.0234571,694.5371466,617.3754818,510.4142568,554.4580427,656.1152248,699.3488818,724.7544851,819.8442959,869.1315994,752.7160978,723.8027779,695.696584,764.7883953,742.4280288,761.2314415,698.5628406,671.8621705,709.0610101,630.198869,630.4790824,816.4376622,989.2208448,1124.220303,1230.194793,1374.086248,1433.258304,1417.130587,1649.639146,1799.623009,1765.250073,1736.222507,1724.534381,1545.559084,1436.094404,1613.668488,1550.111762,1499.954437,1353.927527,1539.165543,1622.39172
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,62.36937451,62.44370346,60.95036382,82.02173758,85.51107341,105.2431957,143.1032332,167.1656746,134.0127683,134.2503596,162.6421754,166.2248313,141.3653223,149.7440685,181.598776,194.6690362,205.6740967,232.7786988,255.0456222,284.7555317,291.649791,311.853617,,,,,,,,,,,,,,,,,,,,,183.5327752,200.4623759,221.6576621,255.0551071,274.0006557,375.0782615,387.8492881,443.8451505,554.5947346,621.9124138,663.1410528,651.9878619,628.1468039,592.4761648,520.2519549,530.1498626,502.0570992,500.5229808,516.8667974,363.6740871,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,107.4237754,112.5038658,118.1973506,122.7741199,131.1637603,137.8098177,143.6015808,128.0496496,129.1236482,143.1455522,194.3273899,168.3852791,199.3197501,244.9052822,331.5818351,375.6285804,441.4011648,451.9972045,479.1776395,579.6203086,712.4263743,1301.957532,1122.2903,806.591433,650.4596711,645.8286203,580.9087312,580.4615947,558.4477548,507.7406104,591.9896084,556.33733,545.4659857,443.5976934,377.2117467,460.8250707,521.4168026,513.0505427,511.4945841,526.248227,522.7727721,535.8979172,621.8625046,700.4433841,843.9898144,1003.436618,1245.822948,1420.840336,1685.37117,1467.241236,1679.646727,1860.943928,1957.519614,2153.766138,2247.857492,1880.750778,1646.972399,1588.581005,1732.816544,1810.538006,1686.997899,1765.965307,1790.3488
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,711.9411692,643.0528514,620.3631095,623.5339325,637.5197594,757.6323892,684.4892772,755.9724447,792.9140885,891.8032047,949.3498406,1038.914019,1196.464962,847.6537993,251.8564992,399.7355584,523.3109091,514.3098866,423.3934528,387.6894148,556.8842437,527.4641185,872.657638,982.8055896,1254.696126,1900.723817,2597.963585,3121.348735,4081.717497,3123.698898,3496.784796,4511.153227,4962.552072,5101.983876,5059.080441,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1502.950754,1903.717405,2998.501158
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4161331,750.6044492,1009.977114,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787803,2972.743618,3595.038302,4370.539711,4114.134041,4094.349699,4437.141146,4247.631356,4413.063397,4578.633208,3952.803584,4124.05539,4531.032207,5287.660817,5396.214227,5343.037704,6377.203096,6802.804519
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3958.59127,4193.161414,4967.344043,6183.805741,7174.447718,7963.562944,7758.724021,8206.985726,9456.016728,12054.02044,12534.82271,10516.74887,9739.230181,8108.675838,7825.159598,7914.87768,10568.93304,12833.00404,14529.06053,15404.8193,19208.67281,19967.72783,21123.06705,17024.32408,16670.94837,18731.65069,19081.53796,18253.08538,18592.24302,18884.17135,21620.46849,22809.08776,24784.96379,31954.15566,37630.76426,39583.93119,43084.29291,50562.86121,53721.41133,49750.69367,48237.89117,51428.19695,44902.38077,44747.75386,45680.53499,38885.53032,39931.21698,40632.23155,42904.82846,41328.6005,37207.222,42072.3411,41992.79336
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,299.9699741,317.7142513,349.2005284,392.3528487,454.7324802,560.6362414,1034.688767,1108.022767,1331.696581,1485.099053,1592.481741,2085.997913,2741.710413,2742.69618,2489.394893,2270.024076,2239.665131,2140.702362,2015.598863,2119.384687,1990.564893,2081.178916,2850.801545,2043.866154,2002.597652,1986.731193,2034.345695,2173.72602,2344.635464,2469.834165,2366.063814,2556.45171,2857.132721,2735.425402,2693.037779,2915.513683,3392.620162,4069.149413,4701.931138,5327.234547,6528.650292,5585.45611,6406.313817,6864.434184,7365.456849,7348.84955,7302.25035,6283.256026,6113.397738,6224.52297,6573.81697,6498.529037,5639.398735,6414.725618,7655.848402
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,27090.34007,31282.7676,35186.23204,29526.63926,34372.384,42995.164,44841.22975,39921.63299,34586.53182,31955.18125,29432.83121,23111.37838,23088.20417,21545.45558,23141.01477,26682.84981,25668.49332,25630.08097,25019.37236,25463.49629,27010.67819,28596.50683,28709.24692,25905.84338,27261.90657,31855.5006,29909.00943,30221.967,32607.37293,37017.73637,42190.55438,45339.58512,43918.38017,45140.76908,31722.58876,34165.91331,40893.02336,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44315.55418,53757.86325
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1163.186836,855.2756565,1179.504098,1285.260799,1277.968419,1065.89852,1143.810428,1331.639709,1324.685288,1374.424233,1411.176664,2100.030587,2846.266307,2026.570709,1946.329391,2125.53222,3280.374868,2510.585576,2746.207484,2763.375182,2914.918251,3539.456782,3919.08957,2910.508329,3443.191431,3485.690232,4004.009589,2382.338066,4330.967451,5730.72381,6815.331623,6957.417499,7464.474737,7383.70451,7690.157003,8176.771195,8250.673174,7735.32208,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.74048,13082.66433,13080.25473,12334.79825,13789.06042,12790.26406,14613.03571,11795.16289,9963.674231,8496.428157,10636.11553,13686.00867
